YEAR,REGION,STATEFIP,COUNTY,METRO,ASECWT,AGE,SEX,RACE,OCC,UHRSWORK1,EDUC,SCHLCOLL,INCWAGE,OFFTOTVAL,POVERTY
2024,42,6,0,2,2206.31,41,2,100,0,999,111,5,0,90000,23
2024,21,18,18089,4,2360.98,16,1,100,0,999,40,1,0,135153,23
2024,42,2,0,2,333.28,39,2,651,3255,36,111,5,135000,252082,23
2024,11,33,0,1,587.78,38,1,100,565,40,81,5,80000,285910,23
2024,42,53,53033,2,2679.59,37,1,651,1021,40,123,5,180000,300305,23
2024,42,53,53033,2,2410.49,49,1,100,1021,45,81,5,100000,107369,23
2024,32,1,0,3,1335.58,2,2,100,0,999,1,0,99999999,50000,22
2024,11,25,0,0,1629.44,44,1,100,0,999,73,5,0,204212,23
2024,41,35,0,1,791.03,72,2,100,0,999,20,0,0,37776,23
2024,31,11,11001,2,389.15,66,2,200,0,999,125,0,0,33199,23
2024,31,37,0,3,2996.71,24,2,100,4030,40,73,5,0,0,10
2024,33,48,48181,4,3475.12,77,2,100,0,999,81,0,0,57683,23
2024,41,16,0,4,1424.31,22,2,100,0,999,81,3,25000,51035,23
2024,22,38,0,1,330.92,4,2,100,0,999,1,0,99999999,155010,23
2024,22,38,0,1,377.06,63,2,100,0,999,111,0,25000,195890,23
2024,22,29,0,3,3401.97,14,1,100,0,999,1,0,99999999,162000,23
2024,22,31,0,1,1172.98,78,2,100,0,999,125,0,0,197359,23
2024,31,37,0,1,2564.37,66,2,200,4600,32,73,0,10875,15875,10
2024,42,6,6037,2,2210.9,62,2,100,845,40,111,0,54900,261416,23
2024,33,5,0,3,1577.05,3,1,100,0,999,1,0,99999999,29000,10
2024,12,42,42011,4,2705.39,45,2,100,3255,40,92,5,110000,206053,23
2024,22,31,0,1,867.79,48,1,100,4700,997,73,5,130000,291823,23
2024,31,51,51179,3,4302.19,35,1,100,2634,40,111,5,60000,60010,23
2024,21,17,0,3,2730.09,12,1,200,0,999,1,0,99999999,182100,23
2024,33,48,0,2,2711.57,42,2,100,710,40,123,5,111520,123262,23
2024,31,45,0,2,2271.11,47,2,200,0,999,73,5,0,1401,10
2024,21,39,0,1,3388.01,71,2,100,0,999,81,0,9000,52168,23
2024,42,15,15003,3,528.03,31,1,813,6355,40,91,5,52000,121188,23
2024,21,26,0,1,4075.44,66,2,100,4720,20,73,0,13000,90985,23
2024,11,23,0,1,2077.42,62,2,100,0,999,73,0,0,40051,23
2024,22,29,0,1,1604.48,43,2,100,3645,40,92,5,30500,132011,23
2024,41,56,0,4,437.32,23,1,100,4140,35,73,5,55000,157635,23
2024,31,13,0,3,2655.34,50,1,100,1010,40,111,5,70000,70000,23
2024,31,11,11001,2,403.78,35,2,100,705,40,123,5,90000,190200,23
2024,41,49,0,2,1865.2,4,2,100,0,999,1,0,99999999,70000,23
2024,41,56,0,4,175.91,8,1,100,0,999,1,0,99999999,46220,22
2024,21,17,0,3,4214.4,61,1,100,2545,35,92,0,40500,40502,23
2024,32,28,0,1,1098.24,28,1,200,8990,997,91,5,48000,48015,23
2024,12,36,36005,2,2915.63,77,2,200,0,999,73,0,0,27023,22
2024,12,36,36061,2,5355.87,57,2,100,2205,40,125,0,135000,138257,23
2024,21,39,0,3,3031.91,33,2,100,4800,40,111,5,125000,496000,23
2024,32,47,0,3,2880.53,47,1,100,0,999,73,5,0,37000,21
2024,33,48,0,2,3009.51,16,2,651,0,999,40,1,0,13990,10
2024,42,53,53057,4,2498.17,33,1,100,4020,40,73,5,30000,65000,23
2024,41,49,0,2,2336.84,21,2,100,3640,16,81,3,18000,33601,23
2024,11,33,33015,3,755.92,50,2,100,5860,40,73,5,40000,304100,23
2024,31,13,13117,3,5376.72,31,1,100,5000,40,81,5,28000,99296,23
2024,31,51,0,4,2129.98,49,1,100,9265,40,73,5,30000,30030,22
2024,42,41,0,3,2045.25,24,2,100,0,999,111,1,0,0,10
2024,32,28,0,1,769.42,65,2,200,0,999,123,0,0,58233,23
